5.7, -6.7, -2.5, -0.5, 3.8, -2.8, -1.3, 2.8, -0.1, 1.2
parameter ends

state | action | reward
[0.02] | 1 | 1.0
0.019586317241191864 | 1 | 1.0
0.02375705912709236 | 0 | 1.0
0.031820446252822876 | 1 | 1.0
0.03597387298941612 | 0 | 1.0
0.0440250039100647 | 1 | 1.0
0.048170629888772964 | 0 | 1.0
0.05621867999434471 | 1 | 1.0
0.060365717858076096 | 0 | 1.0
0.0684196874499321 | 0 | 1.0
0.07257727533578873 | 1 | 1.0
0.07284189760684967 | 0 | 1.0
0.07701931148767471 | 1 | 1.0
0.07730530202388763 | 0 | 1.0
0.08150552958250046 | 1 | 1.0
0.08181614428758621 | 0 | 1.0
0.08604267984628677 | 1 | 1.0
0.08638177067041397 | 0 | 1.0
0.09063870459794998 | 1 | 1.0
0.09101074934005737 | 0 | 1.0
0.09530285000801086 | 1 | 1.0
0.09571307897567749 | 0 | 1.0
0.10004588961601257 | 0 | 1.0
0.10050038993358612 | 1 | 1.0
0.09707989543676376 | 0 | 1.0
0.0975857675075531 | 1 | 1.0
0.094217449426651 | 0 | 1.0
0.09477635473012924 | 1 | 1.0
0.0914626196026802 | 0 | 1.0
0.09207744896411896 | 1 | 1.0
0.08882198482751846 | 0 | 1.0
0.0894969180226326 | 0 | 1.0
0.08630473911762238 | 1 | 1.0
0.0792488232254982 | 0 | 1.0
0.07612645626068115 | 1 | 1.0
0.06914109736680984 | 0 | 1.0
0.06609011441469193 | 1 | 1.0
0.05917791649699211 | 0 | 1.0
0.056201495230197906 | 1 | 1.0
0.04936673492193222 | 0 | 1.0
0.04646970331668854 | 0 | 1.0
0.03971834480762482 | 1 | 1.0
0.029116908088326454 | 0 | 1.0
0.022456839680671692 | 1 | 1.0
0.011948702856898308 | 0 | 1.0
0.005383301060646772 | 1 | 1.0
-0.005026753526180983 | 0 | 1.0
-0.0114921685308218 | 1 | 1.0
Total reward: 48.0
